MCC,Country,Flag
202,Greece ,<img src='http://freedmr.cymru/talkgroups/flags/202.png' />
204,Netherlands (Kingdom of the Netherlands) ,<img src='http://freedmr.cymru/talkgroups/flags/204.png' />
206,Belgium ,<img src='http://freedmr.cymru/talkgroups/flags/206.png' />
208,France ,<img src='http://freedmr.cymru/talkgroups/flags/208.png' />
212,Monaco ,<img src='http://freedmr.cymru/talkgroups/flags/212.png' />
213,Andorra ,<img src='http://freedmr.cymru/talkgroups/flags/213.png' />
214,Spain ,<img src='http://freedmr.cymru/talkgroups/flags/214.png' />
216,Hungary ,<img src='http://freedmr.cymru/talkgroups/flags/216.png' />
218,Bosnia and Herzegovina ,<img src='http://freedmr.cymru/talkgroups/flags/218.png' />
219,Croatia ,<img src='http://freedmr.cymru/talkgroups/flags/219.png' />
220,Serbia ,<img src='http://freedmr.cymru/talkgroups/flags/220.png' />
222,Italy ,<img src='http://freedmr.cymru/talkgroups/flags/222.png' />
226,Romania ,<img src='http://freedmr.cymru/talkgroups/flags/226.png' />
228,Switzerland ,<img src='http://freedmr.cymru/talkgroups/flags/228.png' />
230,Czech Republic ,<img src='http://freedmr.cymru/talkgroups/flags/230.png' />
231,Slovakia ,<img src='http://freedmr.cymru/talkgroups/flags/231.png' />
232,Austria ,<img src='http://freedmr.cymru/talkgroups/flags/232.png' />
234,United Kingdom ,<img src='http://freedmr.cymru/talkgroups/flags/234.png' />
238,Denmark (Kingdom of Denmark) ,<img src='http://freedmr.cymru/talkgroups/flags/238.png' />
240,Sweden ,<img src='http://freedmr.cymru/talkgroups/flags/240.png' />
242,Norway ,<img src='http://freedmr.cymru/talkgroups/flags/242.png' />
244,Finland ,<img src='http://freedmr.cymru/talkgroups/flags/244.png' />
246,Lithuania ,<img src='http://freedmr.cymru/talkgroups/flags/246.png' />
247,Latvia ,<img src='http://freedmr.cymru/talkgroups/flags/247.png' />
248,Estonia ,<img src='http://freedmr.cymru/talkgroups/flags/248.png' />
250,Russian Federation ,<img src='http://freedmr.cymru/talkgroups/flags/250.png' />
255,Ukraine ,<img src='http://freedmr.cymru/talkgroups/flags/255.png' />
257,Belarus ,<img src='http://freedmr.cymru/talkgroups/flags/257.png' />
259,Moldova ,<img src='http://freedmr.cymru/talkgroups/flags/259.png' />
260,Poland ,<img src='http://freedmr.cymru/talkgroups/flags/260.png' />
262,Germany ,<img src='http://freedmr.cymru/talkgroups/flags/262.png' />
266,Gibraltar (United Kingdom) ,<img src='http://freedmr.cymru/talkgroups/flags/266.png' />
268,Portugal ,<img src='http://freedmr.cymru/talkgroups/flags/268.png' />
270,Luxembourg ,<img src='http://freedmr.cymru/talkgroups/flags/270.png' />
272,Ireland ,<img src='http://freedmr.cymru/talkgroups/flags/272.png' />
