Country,Talkgroup,Bridges
Worldwide,91,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> G3 / XLX 891C / P25 TG891 / YSF 00091
Worldwide,907,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> XLX005 J - YSF 00907
Worldwide,969,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> https://network.prideradio.group  (Allstar 56108)
Worldwide,953,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> ASL560027 XLX299-T
Venezuela,734,<img src="https://freedmr.cymru/talkgroups/flags/734.png" />  YSF 86374
USA,3162,<img src="https://freedmr.cymru/talkgroups/flags/310.png" /> TGIF(3162) YSF(31620)
USA,316601,<img src="https://freedmr.cymru/talkgroups/flags/310.png" /> YSF16512
USA,31120,<img src="https://freedmr.cymru/talkgroups/flags/310.png" /> Wires X (21788) YSF (84943)
USA,31069,<img src="https://freedmr.cymru/talkgroups/flags/310.png" /> TGIF 31069 | YSF BAY-AREA-DIGITAL 31069
UK D-Star,23402,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 B
UK D-Star,23407,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 G
UK D-Star,23408,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 H
UK D-Star,23409,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 I
UK D-Star,23412,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 L
UK D-Star,23413,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 M
UK D-Star,23414,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 N
UK D-Star,23415,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 O
UK D-Star,23416,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 P
UK D-Star,23417,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 Q
UK D-Star,23423,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 W
UK D-Star,23425,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 Y
UK,23427,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> AllStar 29177
UK,2350,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> YSF 02350
UK,2351,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> YSF 02351
UK,2352,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> YSF 02352
UK,2353,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> YSF 02353
