Country,Talk Groups,Name
Worldwide,91,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Worldwide
Worldwide,910,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> German Language
Worldwide,913,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> English Language
Worldwide,914,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Spanish Language
Worldwide,915,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Portuguese Language
Worldwide,916,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Italian Language
Worldwide,919,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Polish Language
Worldwide,922,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Dutch Language
Worldwide,924,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Swedish Language
Worldwide,927,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Nordic Language
Worldwide,928,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Russian Language
Worldwide,937,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> French Language FRANCOPHONIE
Worldwide,940,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Arabic Language
Worldwide,941,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Mandarin Language
Worldwide,942,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Hindi Language
Worldwide,943,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Bengali Language
Worldwide,944,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Japanese Language
Worldwide,945,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Indonesian Language
Worldwide,950,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Firefighters of the world
Worldwide,9541,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> RadHisTec
Worldwide,973,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> SOTA 
Worldwide,907,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> JOTA JOTI YOTA
Worldwide,9071,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Tac 1  JOTA – YOTA
Worldwide,9072,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Tac 2  JOTA – YOTA
Worldwide,9073,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Tac 3  JOTA – YOTA
Worldwide,9074,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Tac 4  JOTA – YOTA
Worldwide,9075,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Tac 5  JOTA – YOTA
Worldwide,9076,<img src="https://freedmr.cymru/talkgroups/flags/901.png" /> Tac 6  JOTA – YOTA
