Flag,ServerID,Country Name,Dashboard,Dashboard2,Website,Telegram,Socials
<img src="https://freedmr.cymru/talkgroups/flags/722.png" />,7221,<div style="color:#20bd67">Argentina</div>,<a href="http://dashboard.freedmr.ar/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/225359471651048" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/505.png" />,5051,<div style="color:#20bd67">Australia</div>,<a href="http://dashboard.vkfreedmr.com" target="_blank">Dashboard</a>,,<a href="https://vkfreedmr.com/" target="_blank">Website</a>,<a href="https://t.me/freedmrau" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/freedmrau" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/206.png" />,2061,<div style="color:#20bd67">Belgium</div>,<a href="http://161.97.169.233/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/freedmrBENL" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/724.png" />,7241,<div style="color:#20bd67">Brasil</div>,<a href="http://mastersul.freedmr-brasi" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/284.png" />,2841,<div style="color:#20bd67">Bulgaria</div>,<a href="http://freedmrbg.ddns.net/" target="_blank">Dashboard</a>,,,<a href="https://t.me/Bulgaria_FreeDMR" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/192644065357351" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/284.png" />,2842,<div style="color:#20bd67">Bulgaria-2</div>,<a href="http://lz5pn.freeddns.com:8184" target="_blank">Dashboard</a>,,,<a href="https://t.me/freedmr_bg" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/425540698771305" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/302.png" />,3022,<div style="color:#20bd67">Canada-East</div>,<a href="http://freedmr.va2dfk.com:8080" target="_blank">Dashboard</a>,,,<a href="https://t.me/Va2dfk" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/ve2pqx" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/730.png" />,7301,<div style="color:#20bd67">Chile</div>,<a href="https://master.freedmr.cl/" target="_blank">Dashboard</a>,<a href="https://master-rpt.freedmr.cl/" target="_blank">Dashboard 2</a>,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/cl.link.2001" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/460.png" />,4601,<div style="color:#20bd67">China</div>,<a href="http://www.freedmr.club/hbmon/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/732.png" />,7321,<div style="color:#20bd67">Colombia</div>,<a href="http://n2fur.ddns.net/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/732.png" />,7322,<div style="color:#20bd67">Colombia-Zona1</div>,<a href="http://freedmrcol.mine.nu:8080" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/712.png" />,7121,<div style="color:#20bd67">Costa Rica</div>,<a href="http://freedmrcr.net:8820/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/370.png" />,3701,<div style="color:#20bd67">Dominican Republic</div>,<a href="http://freedmr.ddns.net" target="_blank">Dashboard</a>,,,<a href="https://t.me/n2usb" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/740.png" />,7401,<div style="color:#20bd67">Ecuador</div>,<a href="http://hc3lrc.ddns.net:82/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/706.png" />,7061,<div style="color:#20bd67">El Salvador</div>,<a href="http://fdmr-ys1ys.ddns.net/" target="_blank">Dashboard</a>,,<a href="http://www.ys1ys.org/" target="_blank">Website</a>,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/YS1YS" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/234.png" />,2349,<div style="color:#20bd67">EU</div>,,,,,
<img src="https://freedmr.cymru/talkgroups/flags/208.png" />,2088,<div style="color:#20bd67">France-Francophonie</div>,<a href="http://francophonie-dmr.net/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FreeDMR_Infos_Sup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/hblink.francophone" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/208.png" />,2082,<div style="color:#20bd67">France-Isère</div>,<a href="http://alpes-grenoble.ovh:8080" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/Adri38-Association-D%C3%A" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/208.png" />,2081,<div style="color:#20bd67">France-Lyon & Rhone</div>,<a href="http://lugdunum.francophonie-d" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/208.png" />,2083,<div style="color:#20bd67">France-Yvelines</div>,<a href="http://yvelines.freedmr.fr/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/262.png" />,2621,<div style="color:#20bd67">Germany</div>,<a href="http://freedmr-germany.de/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/262.png" />,2622,<div style="color:#20bd67">Germany-Hamburg</div>,<a href="http://freedmr-germany.de/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/202.png" />,2021,<div style="color:#20bd67">Greece</div>,<a href="http://greece.freedmr.online/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FreeDmrGreece" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/1432904323741377" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/222.png" />,2221,<div style="color:#20bd67">Italy</div>,<a href="https://dashboard.freedmr.it/" target="_blank">Dashboard</a>,,<a href="https://www.freedmr.it/" target="_blank">Website</a>,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/222.png" />,2222,<div style="color:#20bd67">Italy-2222</div>,<a href="http://87.106.193.177/" target="_blank">Dashboard</a>,,<a href="http://sicilia-freedmr.ns0.it/" target="_blank">Website</a>,<a href="https://t.me/FreeDMR_Sicilia" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/222.png" />,2226,<div style="color:#20bd67">Italy-Calabria</div>,<a href="http://freedmr.italynetwork.or" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/222.png" />,2223,<div style="color:#20bd67">Italy-Sicily-1</div>,<a href="http://freedmrsicily1.duckdns." target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
