id,callsign,tgid
91,Worldwide,91
910,German Language,910
913,English Language,913
914,Spanish Language,914
915,Portuguese Language,915
916,Italian Language,916
919,Polish Language,919
922,Dutch Language,922
924,Swedish Language,924
927,Nordic Language,927
928,Russian Language,928
937,French Language FRANCOPHONIE,937
940,Arabic Language,940
941,Mandarin Language,941
942,Hindi Language,942
943,Bengali Language,943
944,Japanese Language,944
945,Indonesian Language,945
950,Firefighters of the world,950
9541,RadHisTec,9541
973,SOTA ,973
907,JOTA – YOTA / XLX005 J,907
9071,Tac 1  JOTA – YOTA,9071
9072,Tac 2  JOTA – YOTA,9072
9073,Tac 3  JOTA – YOTA,9073
9074,Tac 4  JOTA – YOTA,9074
9075,Tac 5  JOTA – YOTA,9075
9076,Tac 6  JOTA – YOTA,9076
9077,Tac 7  JOTA – YOTA,9077
9078,Tac 8  JOTA – YOTA,9078
734,VENEZUELA NATIONAL,734
7341,Falcon-Trujillo-Zulia,7341
73411,Venezuela link YSF,73411
7342,Barinas-Merida-Tachira,7342
7343,Lara-Portuguesa-Yaracuy,7343
7344,Aragua-Carabobo-Cojedes,7344
7345,Dtto. Capital-Guarico-Miranda-Dep.Federales,7345
7346,Anzoategui-Bolivar,7346
7347,Nueva esparta-Sucre,7347
7348,Monagas-Delta Amacuro,7348
7349,Apure-Amazonas,7349
734911,EMCOMM YV,734911
702,Bluffton Digital link,702
3100,USA Nationwide,3100
31001,N. A. TAC 1,31001
31002,N. A. TAC 2,31002
31003,N. A. TAC 3,31003
31004,N. A. TAC 4,31004
31005,N. A. TAC 5,31005
31006,N. A. TAC 6,31006
31007,N. A. TAC 7,31007
31008,N. A. TAC 8,31008
31009,N. A. TAC 9,31009
3101,Alabama,3101
310188,KC2ABV REPEATER SYSTEM,310188
3102,Alaska,3102
3104,Arizona,3104
3105,Arkansas,3105
3106,California,3106
31060,California Link,31060
31061,CA TAC,31061
31068,NorCal,31068
3108,Colorado,3108
3109,Connecticut,3109
3110,Delaware,3110
3111,District of Columbia,3111
3112,Florida,3112
3113,Georgia,3113
3115,Hawai,3115
3116,Idaho,3116
3117,Illinois,3117
3118,Indiana,3118
3119,Iowa,3119
3120,Kansas,3120
3121,Kentucky,3121
3122,Louisiana,3122
3123,Maine,3123
3124,Maryland,3124
3125,Massachusetts,3125
3126,Michigan,3126
31260,ZOMBIE Alert USA / XLX240B ,31260
3127,Minnesota,3127
3128,Mississippi,3128
3129,Missouri,3129
3130,Montana,3130
3131,Nebraska,3131
